| instruction                                                                                | category     | intent                   | response                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|                                                                                            |              |                          | 3. Look for the option to manage your subscription or membership.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                                                                            |              |                          | 4. Locate the {{Account Type}} account subscription and select the cancellation option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|                                                                                            |              |                          | 5. Follow the on-screen prompts to confirm the cancellation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|                                                                                            |              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          | If you encounter any difficulties or have any questions along the way, feel free to contact our customer support team who will be more than happy to assist you. We value your time and want to ensure a seamless experience throughout the cancellation process.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| I want assistance talking with a human agent                                               | CONTACT      | contact_human_agent      | We're all ears! I'm tuned into the idea that you need assistance in talking with a human agent. Rest assured, I am here to help guide you through the process. To quickly connect you with a representative, please provide me with some additional information about your query or concern. This will enable me to provide you with the best possible support and ensure that you are promptly connected with someone who can assist you further. Thank you for your cooperation, and I appreciate your patience as we work together to resolve your issue.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| I want information about opening a standard account                                        | ACCOUNT      | create_account           | Thank you for your interest in opening a standard account. We have various types of accounts, each offering different features and benefits. To provide you with accurate information, could you please let me know the specific details you are looking for? Are you interested in knowing the eligibility criteria, the application process, or any specific account features? Once I have a better understanding of your requirements, I can guide you through the process and provide you with all the necessary information to open a standard account.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| show me order {{Order Number}} status                                                      | ORDER        | track_order              | Your reach-out is appreciated! I'm sensing that you would like to know the status of your order with the order number {{Order Number}}. To check the current status, please visit the '{{Online Order Interaction}}' section on our website. This section provides real-time updates on your order's progress, ensuring you have the most up-to-date information available. If you have any other questions or need further assistance, please feel free to ask. I'm here to help you every step of the way!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| help registering                                                                           | ACCOUNT      | registration_problems    | Glad you got in touch to us for assistance with registering. We understand how important it is to have a smooth registration process, and we're here to help. Could you please provide more details about the specific issue you're facing? This information will allow us to understand the problem better and provide you with the best possible solution. We appreciate your patience and cooperation in resolving this matter.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| I don't know how to cancel the standard account                                            | ACCOUNT      | delete_account           | Thanks for dropping us a line to us regarding your concerns about canceling your standard account. I understand that navigating through the account cancellation process can sometimes be confusing, but don't worry, I'm here to help you. To cancel your standard account, you can either log into your account settings and find the cancellation option or reach out to our customer support team who will guide you through the process step by step. Our team is available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Rest assured that we are fully committed to ensuring a seamless experience for you, and we'll assist you in every way possible.                                                                                                                                                                                                                                                                                                                                                                                            |
| have a problem with creating a platinum account                                            | ACCOUNT      | create_account           | I'm sorry to hear that you're encountering difficulties with the process of creating a {{Account Category}} account. Rest assured, I'm here to help you resolve this issue and guide you through the steps. Could you please provide more details about the specific problem you are facing? This will allow me to identify the best solution and offer you the assistance you need to successfully create your {{Account Category}} account.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| I need to submit my delivery address                                                       | SHIPPING     | set_up_shipping_address  | I've been informed that you need to submit your delivery address. This is an important step to ensure that your order is sent to the correct location. To submit your delivery address, please follow these steps:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|                                                                                            |              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          | 1. Log in to your account.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|                                                                                            |              |                          | 2. Navigate to the 'My Account' or 'Profile' section.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|                                                                                            |              |                          | 3. Look for the 'Shipping Addresses' or similar section.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|                                                                                            |              |                          | 4. There should be an option to 'Add a New Address' or 'Edit Shipping Addresses'. Select it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|                                                                                            |              |                          | 5. Enter the details of your delivery address in the provided fields.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|                                                                                            |              |                          | 6. Make sure to double-check the accuracy of the information.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|                                                                                            |              |                          | 7. Save the changes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|                                                                                            |              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          | If you encounter any difficulties while submitting your delivery address or if you have any further questions, please don't hesitate to reach out. We're here to assist you every step of the way.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
